PlotID,Susc_TotalBA_m2_ha,Susc_LiveBA_m2_ha,Susc_TotalStems_ha,Susc_LiveStems_ha,Total_QMD_cm,PICO_QMD_cm,ABLA_QMD_cm,PIEN_QMD_cm,POTR_QMD_cm,Total_BA_m2_ha,PICO_BA_m2_ha,ABLA_BA_m2_ha,PIEN_BA_m2_ha,POTR_BA_m2_ha,Total_OvrBA_m2_ha,PICO_OvrBA_m2_ha,ABLA_OvrBA_m2_ha,PIEN_OvrBA_m2_ha,POTR_OvrBA_m2_ha,Total_MidBA_m2_ha,PICO_MidBA_m2_ha,ABLA_MidBA_m2_ha,PIEN_MidBA_m2_ha,POTR_MidBA_m2_ha,Total_SapBA_m2_ha,PICO_SapBA_m2_ha,ABLA_SapBA_m2_ha,PIEN_SapBA_m2_ha,POTR_SapBA_m2_ha,Total_Stems_ha,PICO_Stems_ha,ABLA_Stems_ha,PIEN_Stems_ha,POTR_Stems_ha,Total_OvrStems_ha,PICO_OvrStems_ha,ABLA_OvrStems_ha,PIEN_OvrStems_ha,POTR_OvrStems_ha,Total_MidStems_ha,PICO_MidStems_ha,ABLA_MidStems_ha,PIEN_MidStems_ha,POTR_MidStems_ha,Total_SapStems_ha,PICO_SapStems_ha,ABLA_SapStems_ha,PIEN_SapStems_ha,POTR_SapStems_ha,Total_SdlStems_ha,PICO_SdlStems_ha,ABLA_SdlStems_ha,PIEN_SdlStems_ha,POTR_SdlStems_ha
FRA1_H_N,40.967535,5.559255,935,136,9.572924245010572,9.159833609726906,11.93889335701244,12.399840639044314,NA,10.321178584,8.223953606,1.891932978,0.205292,0,8.165882,6.283931,1.6766590000000001,0.205292,0,1.88734,1.697535,0.189805,0,0,0.267956584,0.242487606,0.025468978,0,0,4382,2186,705,84,1407,255,187,51,17,0,442,391,51,0,0,737,670,67,0,0,2948,938,536,67,1407
FRA1_H_Y,32.177175,9.970653,799,323,12.11196648555298,11.456424682990264,15.286548283454689,19.59149592305761,0.3000297073823573,20.462711406,14.998647516,3.4136792,2.049911,4.7369e-4,16.624299999999998,11.845957,2.917506,1.860837,0,3.493789,2.809386,0.495329,0.189074,0,0.344622406,0.343304516,8.442e-4,0,4.7369e-4,3585,2192,856,68,469,561,459,51,51,0,612,527,68,17,0,603,469,67,0,67,1809,737,670,0,402
FRA2_L_Y,16.058166,1.2963689999999999,255,51,12.428420652389653,10.73751831374443,10.201846225047069,18.34984469130761,NA,20.526889459,2.155141,8.983511650999999,9.388236808,0,16.255451,1.504993,6.058936,8.691522,0,4.001698,0.6501480000000001,2.7895469999999998,0.562003,0,0.269740459,0,0.135028651,0.134711808,0,9531,1511,6660,1360,0,374,68,170,136,0,782,170,527,85,0,536,0,402,134,0,7839,1273,5561,1005,0
FRA3_C_N,22.78221,3.017415,374,119,9.37261838751902,9.189459720136822,10.245904291965886,8.208168297963486,NA,9.679890344,5.723763088,3.067145837,0.888981419,0,6.345726,3.4250410000000002,2.262649,0.658036,0,2.90224,2.035716,0.72488,0.14164400000000002,0,0.431924344,0.26300608799999997,0.079616837,0.089301419,0,17215,1868,13772,1374,201,306,153,136,17,0,561,442,102,17,0,536,268,134,134,0,15812,1005,13400,1206,201
FRA4_M_N,23.893976,9.231714,612,289,7.944538742203782,7.913795284195308,7.362675706254088,8.79358528645793,NA,18.257024161,13.492310523,2.213938664,2.550774974,0,14.005688,9.697021,2.163046,2.1456210000000002,0,2.985982,2.924238,0,0.06174399999999999,0,1.265354161,0.871051523,0.050892664,0.343409974,0,19495,12391,6282,822,0,442,323,51,68,0,561,544,0,17,0,2680,1876,469,335,0,15812,9648,5762,402,0
FRA4_M_Y,29.299109,11.491167,833,493,9.886088043340402,9.232787958822092,13.486062726241585,9.658413448583254,NA,28.508984252,21.129713805,6.756509447,0.622761,0,21.958118,15.786251,5.924907999999999,0.246959,0,5.959554,4.788407,0.795345,0.375802,0,0.591312252,0.555055805,0.036256447000000004,0,0,16712,5568,10590,554,0,935,816,102,17,0,1037,799,170,68,0,1742,1541,201,0,0,12998,2412,10117,469,0
FRA5_X_N,31.245524,6.484225,867,238,7.6914044767542995,7.803783246561694,3.0800739192752964,9.800011952825791,NA,9.929027659,9.738208459,0.0625882,0.128231,0,7.6314020000000005,7.6314020000000005,0,0,0,1.820547,1.630572,0.06174399999999999,0.128231,0,0.477078659,0.476234459,8.442e-4,0,0,5353,4180,955,218,0,323,323,0,0,0,340,306,17,17,0,1474,1407,67,0,0,3216,2144,871,201,0
FRA5_X_Y,22.816788,9.39182,714,323,9.368449212530304,9.325438042021986,10.12631369318654,10.825176651555887,NA,20.024996424,19.144872424,0.410737,0.469387,0,13.054725,12.785496,0,0.269229,0,6.143902,5.5330070000000005,0.410737,0.200158,0,0.826369424,0.826369424,0,0,0,3106,2937,118,51,0,595,578,0,17,0,1037,952,51,34,0,1273,1273,0,0,0,201,134,67,0,0
FRB1_H_N,20.990614,7.569131,646,306,9.76147942912305,9.35171973860562,10.295421002617092,12.455741670031248,NA,23.6488086,17.762430165,2.38924681,3.497131625,0,17.139842,12.193539,1.9500190000000002,2.996284,0,5.935125,5.051618,0.415548,0.467959,0,0.5738416000000001,0.517273165,0.02367981,0.032888625000000005,0,9458,5199,3503,756,0,782,646,51,85,0,1105,935,102,68,0,1273,1005,134,134,0,6298,2613,3216,469,0
FRB1_H_Y,24.12147,11.23819,867,425,10.334456007555897,10.412809271548568,4.915325885825353,13.551186884830685,NA,24.124316655,23.197107089,0.191653566,0.735556,0,16.683596,15.982771,0,0.700825,0,6.92087,6.702063,0.184076,0.034731000000000005,0,0.519850655,0.512273089,0.007577566,0,0,7566,4131,3317,118,0,816,782,0,34,0,1122,1071,34,17,0,938,871,67,0,0,4690,1407,3216,67,0
FRB2_C_N,30.141867,4.598993,476,136,8.530071012052971,8.924191043022914,7.885490919195708,7.290019925245721,NA,11.263745119,8.125269331,2.295335781,0.843140007,0,8.022232,5.55288,1.896282,0.57307,0,2.523276,2.100214,0.200617,0.222445,0,0.718237119,0.47217533100000003,0.198436781,0.047625007,0,5120,2706,1542,872,0,272,204,34,34,0,493,425,34,34,0,1206,670,402,134,0,3149,1407,1072,670,0
FRB3_X_N,16.596471,5.965861,578,238,11.03863493328538,10.983070939357969,12.507350394995584,7.552731704425505,9.190277946064231,30.787377672,12.022647016,13.723810218,0.981167438,4.059753,22.198889,8.703014,11.614298,0.697289,1.184288,7.744435,2.916129,1.845877,0.106964,2.875465,0.844053672,0.403504016,0.263635218,0.176914438,0,40335,1805,36761,420,1349,969,442,425,34,68,1377,425,357,51,544,871,402,335,134,0,37118,536,35644,201,737
FRB3_X_Y,18.621936,9.866069,748,408,12.746004921128511,12.990386574814869,14.416545046302364,13.198193106954268,10.20491511383748,28.173326585,15.30794988,6.659988,2.312099705,3.8932890000000002,20.968939,12.017963,5.576306,1.855057,1.519613,7.055731,3.205792,1.083682,0.392581,2.373676,0.148656585,0.08419488,0,0.06446170500000001,0,17417,1222,13741,303,2151,935,578,221,51,85,1139,510,187,51,391,134,67,0,67,0,15209,67,13333,134,1675
