PlotID,Species,Status,DecayClass,DBH_cm,MPB
FRC3_C_N,PICO,L,NA,21,NA
FRC3_C_N,PICO,L,NA,19,NA
FRC3_C_N,PICO,L,NA,18.7,NA
FRC3_C_N,PICO,D,1,30.4,Y
FRC3_C_N,PICO,L,NA,14.7,NA
FRC3_C_N,PICO,D,1,37.6,Y
FRC3_C_N,PICO,L,NA,10.6,NA
FRC3_C_N,PIEN,D,1,41.8,NA
FRC3_C_N,PICO,D,1,41.6,Y
FRC3_C_N,PICO,D,2,33.1,Y
FRC3_C_N,ABLA,L,NA,10.9,NA
FRC3_C_N,PICO,D,3,33.3,NA
FRC3_C_N,PICO,D,1,39.3,Y
FRC3_C_N,PICO,D,3,28,NA
FRC3_C_N,PICO,D,3,38.8,Y
FRC3_C_N,ABLA,L,NA,14.4,NA
FRC3_C_N,PICO,D,2,39.6,NA
FRC3_C_N,ABLA,L,NA,21.7,NA
FRC3_C_N,PICO,D,1,16.1,Y
FRC3_C_N,ABLA,L,NA,9.5,NA
FRC3_C_N,ABLA,L,NA,7.5,NA
FRC3_C_N,PICO,D,2,29.2,Y
FRC3_C_N,PICO,D,3,49,Y
FRC3_C_N,PICO,D,2,21.1,NA
FRC3_C_N,PICO,D,1,31.6,Y
FRC3_C_N,PICO,L,NA,12.3,NA
FRC3_C_N,PICO,L,NA,13.4,NA
FRC3_C_N,PICO,D,3,18.3,NA
FRC3_C_N,PICO,D,2,28.4,Y
FRC3_C_N,PIEN,L,NA,9,NA
FRC3_C_N,PICO,D,1,5.1,NA
FRC3_C_N,PICO,L,NA,9.7,NA
FRC3_C_N,PICO,D,2,28.5,Y
FRC3_C_N,PICO,D,1,22.9,Y
FRC3_C_N,PICO,L,NA,11.3,NA
FRC3_C_N,PICO,D,1,23.5,Y
FRC3_C_N,PICO,L,NA,21,NA
FRC3_C_N,PICO,L,NA,24.2,NA
FRC3_C_N,PICO,D,2,33.9,Y
FRC3_C_N,PICO,D,1,26,Y
FRC3_C_N,PICO,D,1,32.2,Y
FRC3_C_N,PIEN,L,NA,24.4,NA
FRC3_C_N,PIEN,D,1,28.3,NA
FRC3_C_N,PIEN,L,NA,26.6,NA
FRC3_C_N,ABLA,L,NA,7.4,NA
FRC3_C_N,PICO,L,NA,8.8,NA
FRC3_C_N,PICO,D,1,31.1,Y
FRC3_C_N,PICO,D,1,20,Y
FRC3_C_N,PICO,L,NA,9.8,NA
FRC3_C_N,PICO,L,NA,11.4,NA
FRC3_C_N,PICO,L,NA,13.6,NA
FRC3_C_N,PICO,L,NA,15.1,NA
FRC3_C_N,PICO,D,3,23.5,Y
FRC3_C_N,ABLA,L,NA,10.2,NA
FRC3_C_N,PICO,D,2,28.2,Y
FRC3_C_N,PICO,D,1,34.3,Y
FRC3_C_N,PICO,D,3,15.7,Y
FRC3_C_N,PICO,D,2,22,NA
FRC3_C_N,PICO,D,3,18.5,NA
FRC3_C_N,PICO,D,1,25.2,Y
FRC3_C_N,PICO,D,1,19.8,Y
FRC3_C_N,ABLA,L,NA,6,NA
FRC3_C_N,ABLA,L,NA,5,NA
FRC3_C_N,PICO,D,3,20.2,NA
FRC3_C_N,PICO,D,1,26.8,Y
FRC3_C_N,PICO,D,1,20,NA
FRC3_C_N,PICO,L,NA,25.9,NA
FRC3_C_N,ABLA,L,NA,7.7,NA
FRC3_C_N,PICO,L,NA,32,NA
FRC3_C_N,PICO,D,1,31.2,Y
FRC3_C_N,PIEN,L,NA,9.9,NA
FRC3_C_N,ABLA,L,NA,7.3,NA
FRC3_C_N,PICO,D,3,28.5,Y
FRC3_C_N,PICO,D,1,32.1,Y
FRC3_C_N,ABLA,L,NA,5.4,NA
FRC3_C_N,ABLA,L,NA,7.8,NA
FRC3_C_N,ABLA,L,NA,6.6,NA
FRC3_C_N,ABLA,L,NA,8.1,NA
FRC3_C_N,ABLA,L,NA,10.3,NA
FRC3_C_N,ABLA,L,NA,13.4,NA
FRC3_C_N,PICO,D,1,30.5,Y
FRC3_C_N,ABLA,L,NA,7.5,NA
FRC3_C_N,ABLA,L,NA,8.6,NA
FRC3_C_N,PICO,D,1,41.4,Y
FRC3_C_N,ABLA,L,NA,15.3,NA
FRC3_C_N,ABLA,L,NA,9.6,NA
FRC3_C_N,PICO,L,NA,23.3,NA
FRC3_C_N,PICO,D,3,46.6,Y
FRC3_C_N,PICO,D,1,27.9,Y
FRC3_C_N,PICO,D,3,17.3,NA
FRC3_C_N,ABLA,L,NA,10.2,NA
FRC3_C_N,PICO,D,3,23.7,NA
FRC3_C_N,ABLA,L,NA,5.4,NA
FRC3_C_N,PICO,D,1,24,Y
FRC1_X_Y,PICO,L,NA,6.2,NA
FRC1_X_Y,PICO,L,NA,10.9,NA
FRC1_X_Y,ABLA,L,NA,10.9,NA
FRC1_X_Y,PICO,L,NA,13.2,NA
FRC1_X_Y,PICO,L,NA,12.8,NA
FRC1_X_Y,ABLA,L,NA,6.4,NA
FRC1_X_Y,PICO,L,NA,11.2,NA
FRC1_X_Y,PICO,L,NA,9,NA
FRC1_X_Y,PICO,L,NA,13.3,NA
FRC1_X_Y,PICO,L,NA,7.4,NA
FRC1_X_Y,ABLA,L,NA,5.8,NA
FRC1_X_Y,PICO,L,NA,7.5,NA
FRC1_X_Y,PICO,L,NA,6.3,NA
FRC1_X_Y,PIEN,L,NA,6.9,NA
FRC1_X_Y,ABLA,L,NA,9.4,NA
FRC1_X_Y,PICO,L,NA,12.3,NA
